X,Y,PLOTID,LON,LAT,strate,prob_chang,ID,INT1_2000,INT1_2010,INT1_2015,INT1_2020,INT1_2021,CHG_20_21,CHG_00_10,CHG_10_15,CHG_15_20,IC,COMMENT.,P-I_name
-1304.21546890377,504984.590894624,"30875","-7.51461879517105","4.55444669785797","1","0.0876571428571429","121","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
-2074.41511283064,665429.177861457,"30958","-7.53205353078521","6.00131415814493","2","0.283346031746032","122","50","50","21","21","21",Stable,Stable,Stable,Stable,"1",,GJ
-347.739413938194,516008.523983703,"31486","-7.50664986663373","4.65392090342611","1","0.0791650793650794","123","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
-487.832176352968,548096.584285671,"31518","-7.50981210366512","4.94329879413862","2","0.324019047619048","124","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
-515.037678358203,554113.123959861,"31524","-7.51042651025587","4.99755687250903","3","0.461585714285714","125","12","21","21","21","21",Deforestation,Stable,Stable,Stable,"1",,GJ
546.206125387689,541070.579359448,"32110","-7.50008826035307","4.87999759080302","3","0.592836507936508","126","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
1627.67003560846,523014.791098682,"32693","-7.48929816333535","4.71722252493565","1","0.184809523809524","127","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
794.239120477112,690473.505373952,"32792","-7.50810829115817","6.22738076813719","1","0.0446444444444444","128","50","50","50","22","22",Stable,Stable,Stable,Stable,"1",,GJ
2460.82823609095,561111.558960434,"33338","-7.48409767674101","5.06085785068622","3","0.579755555555556","129","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
3589.50444513274,533028.876720591,"33928","-7.47224715187033","4.80765321272648","3","0.419976190476191","130","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
2883.74133887491,675415.234980396,"34015","-7.4881353494721","6.09174102954341","3","0.670101298701299","131","22","40","40","40","40",Stable,Stable,Stable,Stable,"1",,GJ
2878.18360575789,676417.976390462,"34016","-7.48826073612692","6.1007837001206","1","0.0118222222222222","132","50","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
2867.04350665992,678423.460142441,"34018","-7.48851207792912","6.11886903218331","3","0.437895238095238","133","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,GJ
2822.15469398902,686445.407644613,"34026","-7.48952502734433","6.1912102385639","3","0.487607936507936","134","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
4466.08687475097,561097.714141546,"34574","-7.46606152621318","5.06085785068622","2","0.211147619047619","135","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,GJ
3489.7350678636,743593.181528132,"34701","-7.48804947637006","6.70663550728766","1","0.0991714285714286","136","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,GJ
5718.48198873061,503938.222485107,"35135","-7.45144589802133","4.54540357455718","1","0.127257142857143","137","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
5436.17936864914,568109.607409456,"35199","-7.45777280020089","5.12415870544167","1","0.100126984126984","138","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,GJ
5417.41640128038,572120.352816165,"35203","-7.45819369567151","5.16033056644325","2","0.296366666666667","139","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
4504.54653900448,741578.524140117,"35320","-7.47872946214409","6.68855058822525","2","0.223266666666667","140","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,GJ
4374.73689395515,762636.087589274,"35341","-7.4816589064946","6.87844157016754","3","0.609447619047619","141","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,GJ
4110.8814067936,803748.921786535,"35382","-7.48762053612472","7.24917673756064","1","0.105628571428571","142","23","23","23","23","23",Stable,Stable,Stable,Stable,"1",,GJ
4084.40207226755,807759.96270147,"35386","-7.48821934738573","7.28534570414447","2","0.283953968253968","143","50","50","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
6716.93066944549,504934.7009884,"35756","-7.4425274482206","4.55444669785797","3","0.464819047619048","144","23","23","23","23","23",Stable,Stable,Stable,Stable,"1",,GJ
6662.20898765064,517969.275647423,"35769","-7.44375155275868","4.67200709265811","3","0.503457142857143","145","50","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
6434.0995177654,569105.306691031,"35820","-7.44885865859909","5.13320167452816","1","0.0972222222222222","146","11","22","22","22","22",Deforestation,Stable,Stable,Stable,"1",,GJ
5645.162570955,718506.801405069,"35921","-7.46657667193273","6.48057307459403","2","0.396098412698413","147","50","50","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
5205.11732758378,789700.582236755,"35992","-7.47649623419139","7.12258490429217","2","0.323398412698413","148","50","50","50","23","23",Stable,Stable,Stable,Stable,"1",,GJ
6373.63610952039,763620.022201794,"36605","-7.4637044679721","6.88748396071292","1","0.156942857142857","149","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,GJ
6102.8252258061,805734.57221951,"36647","-7.46980872950895","7.26726122804569","2","0.242949206349206","150","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,GJ
8584.8912166332,537006.741926875,"37054","-7.42756710399752","4.84382542105971","1","0.0288507936507937","151","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,GJ
8101.8312048075,637272.115238979,"37126","-7.43836968325871","5.74811734676556","1","0.00678571428571429","152","12","12","12","12","12",Stable,Stable,Stable,Stable,"1",,GJ
7806.8043616176,691416.585174928,"37180","-7.44498291531334","6.23642339281422","2","0.205780952380952","153","23","23","23","23","23",Stable,Stable,Stable,Stable,"1",,GJ
7518.37871424353,740548.467006825,"37229","-7.45145965283696","6.67950812371825","1","0.0348","154","50","50","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
7475.56714434101,747567.371906624,"37236","-7.45242197628341","6.74280530548302","2","0.24672380952381","155","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,GJ
7125.21371553588,802716.502506573,"37291","-7.46030669303041","7.24013448693422","1","0.0821428571428571","156","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,GJ
9794.11974030675,487871.67593304,"37652","-7.41394563384064","4.40071329679787","3","0.420585714285714","157","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
9474.39920860826,562065.983258406,"37726","-7.42107427904952","5.06990083752906","2","0.207633333333333","158","12","50","50","50","50",Stable,Stable,Stable,Stable,"1",,GJ
9292.70858097292,600166.288598496,"37759","-7.42513150607679","5.41353242714758","2","0.275614285714286","159","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,GJ
8976.22406824661,661328.131580042,"37802","-7.43220943113198","5.96514332588565","2","0.3552","160","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,GJ
